time, x_pid, y_pid, theta_pid, x_state, y_state, theta_state, x_gyro, y_gyro, theta_gyro, x_kalman, y_kalman, theta_kalman, reflection, error, command
108109, 635.77026959966, 1047.720491178611, -97.9999999999999, 632.9543101163336, 1048.655409145646, -97.99999999999981, -225.9674059022013, -661.5016828536588, -502.0, 2356.269109601987, -7458.147639018205, -207.1431095961434, 21, -19, -22.08571428571429
108228, 633.6984907617725, 1030.847206600708, -96.99999999999989, 630.760661935041, 1030.789578416102, -96.99999999999982, -242.4916161400407, -668.858735253614, -516.0, 2340.711444625105, -7449.094514669833, -210.195452774218, 11, -29, -36.31904761904762
108350, 629.7481686362352, 1012.262402186766, -101.9999999999999, 626.8103398095036, 1012.20477400216, -101.9999999999998, -258.4455361285576, -678.069735253614, -510.0000000000001, 2324.637969925111, -7438.963206211955, -212.22373444363, 10, -30, -40.41190476190476
108472, 624.4854779512259, 995.0489165794316, -106.9999999999999, 621.8400208292171, 995.9475931507884, -106.9999999999998, -273.4146385386115, -688.1665223186818, -506.0, 2310.677134454464, -7429.262944722618, -214.7923285367852, 73, 33, 39.25
108608, 619.6470400392326, 975.6430020539115, -103.9999999999999, 617.0015829172238, 976.5416786252684, -103.9999999999998, -289.1484010452154, -699.5977699052659, -504.0, 2293.727740838913, -7418.646068719521, -212.0624847486568, 87, 47, 60.16666666666667
108728, 617.1419242219515, 957.8181768165633, -97.99999999999988, 614.3572939989826, 957.7265853191786, -97.99999999999981, -304.7235965832469, -707.879248272809, -512.0, 2277.247564259382, -7409.190711512759, -209.8446717148598, 14, -26, -31.06904761904762
108849, 614.8264066972538, 938.9597999353782, -96.99999999999989, 612.16364581769, 939.8607545896349, -96.9999999999998, -322.2338288789715, -714.2524516235396, -520.0, 2261.863402244652, -7399.845789945163, -211.2760776217046, 11, -29, -36.73571428571428
108990, 610.4602611900809, 918.4187003199682, -101.9999999999999, 607.7975003105172, 919.3196549742249, -101.9999999999998, -340.8631330766144, -723.3385703830367, -514.0, 2244.312324915418, -7388.314975377958, -213.3043592911165, 9, -31, -42.22380952380952
109113, 605.1975705050717, 901.2052147126337, -106.9999999999999, 601.9261774173932, 901.2495811646168, -107.9999999999998, -357.3739073997647, -732.8710703830368, -510.0000000000001, 2229.059345949739, -7376.985958091689, -216.6027971724001, 46, 6, 3.240476190476189
109239, 599.3262476119477, 883.1351409030257, -107.9999999999999, 596.3638715186443, 884.130563871304, -107.9999999999998, -373.1883082968897, -742.7530048224575, -508.0000000000001, 2214.50858702856, -7366.38994870996, -216.0624847486568, 87, 47, 57.18809523809524
109370, 595.0521775794143, 864.6221096721062, -102.9999999999999, 591.8648504317671, 864.6431625755994, -102.9999999999998, -390.0308599972731, -752.0889836795414, -510.9999999999999, 2197.777838692776, -7355.431752684854, -213.2237344436299, 89, 49, 64.02380952380952
109487, 593.4833742099565, 846.6906051064548, -94.99999999999988, 590.2960470623093, 846.711658009948, -94.99999999999979, -406.1857201753634, -758.9463149845281, -517.0, 2182.035585923078, -7346.703552541929, -209.0059214098329, 11, -29, -33.42857142857143
109600, 592.2975141563064, 829.7320162520377, -93.99999999999988, 589.1101870086592, 829.7530691555309, -93.99999999999979, -422.8758526866844, -762.4939121649516, -528.0, 2167.501744878482, -7337.884966232865, -211.2477959522927, 11, -29, -35.4
109721, 589.4816937855824, 811.9536261213252, -98.99999999999986, 586.2943666379351, 811.9746790248184, -98.99999999999979, -440.4642097583564, -767.8712125582122, -523.0, 2152.499821734447, -7327.937991718951, -213.5462338335762, 27, -13, -17.30952380952381
109847, 585.6655138780516, 792.321082452372, -100.9999999999999, 582.6689957257809, 793.3237625393128, -100.9999999999998, -458.8164066423053, -774.5508659573625, -520.0, 2136.784443297544, -7317.259654742394, -214.195452774218, 88, 48, 61.22619047619047
109979, 583.3499963533539, 773.4627055711869, -96.99999999999987, 580.3534782010831, 774.4653856581277, -96.9999999999998, -476.4143983713597, -780.610340448119, -521.0000000000001, 2120.592296249832, -7307.319112806197, -211.5462338335762, 89, 49, 66.61190476190476
110099, 583.664139669225, 755.4654470583718, -88.99999999999986, 580.6850739233916, 755.4682794501563, -88.99999999999979, -493.9557433003294, -783.3886165472335, -531.0, 2103.880400279917, -7298.279614308452, -208.4090456472658, 54, 14, 25.58333333333334
110219, 585.5456520080428, 737.5640529417429, -83.99999999999986, 582.4620577989418, 738.5614072288956, -83.99999999999979, -512.0757433003294, -783.3886165472335, -540.0, 2088.759133045718, -7290.511263310207, -207.1912326134688, 10, -30, -30.32380952380953
110342, 586.5400351766588, 718.590091781406, -86.99999999999987, 583.7874308000802, 719.6076902739589, -85.99999999999978, -530.2797433003293, -783.3886165472335, -540.0, 2072.085546182085, -7281.401296180689, -208.6509201897255, 13, -27, -28.86428571428572
110469, 586.5400351766588, 699.5900917814059, -89.99999999999988, 583.7874308000803, 700.607690273959, -89.9999999999998, -548.9032665546299, -784.6909001555625, -536.0, 2055.712853881063, -7271.761018860193, -210.4896704947524, 93, 53, 73.35238095238094
110598, 587.8654081777973, 680.6363748264693, -85.99999999999987, 585.1128038012188, 681.6539733190223, -85.99999999999978, -567.9226157305975, -786.3548775961008, -535.0000000000001, 2038.829147621556, -7263.046636326549, -207.3001391303673, 91, 51, 75.07619047619048
110718, 592.2200022985914, 663.1710517535013, -75.99999999999987, 589.4673979220129, 664.1886502460543, -75.99999999999979, -585.9075519983382, -784.1466050935995, -547.0, 2022.290109261069, -7255.943101283322, -203.2435757915434, 22, -18, -10.32142857142857
110838, 597.4826929836006, 645.9575661461667, -72.99999999999986, 594.7300886070223, 646.9751646387197, -72.99999999999979, -603.3256139287406, -779.1520562061955, -556.0, 2005.781205807332, -7248.769810075292, -203.4854503340031, 11, -29, -25.73095238095238
110956, 601.5318119617903, 628.4189049800324, -76.99999999999988, 598.7792075852119, 629.4365034725854, -76.99999999999979, -620.4569884077946, -775.1969667687217, -553.0, 1989.547454388605, -7240.993865446183, -205.5943568509016, 11, -29, -28.5
111099, 604.8169357276351, 607.6774498275345, -80.99999999999987, 602.0643313510568, 608.6950483200875, -80.9999999999998, -642.631579342496, -771.6848565941035, -549.0, 1970.908918664158, -7231.318898466987, -207.4331071559285, 74, 34, 51.25
